"Social.ST.min","isWeekday","afterHoliday","isHalfway","groups"
35,0,0,0,0
33,1,0,0,0
45,1,0,0,0
30,1,0,0,0
6,1,0,0,0
58,1,0,0,0
21,0,0,0,0
39,0,0,0,0
13,1,0,0,0
36,1,0,0,0
25,1,0,0,0
2,1,0,0,0
9,1,0,0,0
35,0,0,0,0
26,0,0,0,0
15,1,0,0,0
22,1,0,0,0
24,1,1,0,0
10,1,1,0,0
13,1,1,0,0
15,0,1,0,0
24,0,1,0,0
15,1,1,0,0
6,1,1,0,0
40,1,1,0,0
14,1,1,0,0
21,1,1,1,0
15,0,1,1,0
8,0,1,1,0
6,1,1,1,0
4,1,1,1,0
32,1,1,1,0
25,1,1,1,0
18,1,1,1,0
26,0,1,1,0
34,0,1,1,0
8,1,1,1,0
14,1,1,1,0
11,1,1,1,0
24,1,1,1,0
21,1,1,1,0
14,0,1,1,0
7,0,1,1,0
4,1,1,1,0
3,1,1,1,0
9,1,1,1,0
27,1,1,1,0
7,1,1,1,0
27,0,1,1,0
22,0,1,1,0
60,1,1,1,0
26,1,1,1,0
