"Social.ST.min","isWeekday","afterHoliday","isHalfway","groups"
0,0,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,0,0,0,1
2,0,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
30,1,0,0,1
5,0,0,0,1
0,0,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,0,1,0,1
6,0,1,0,1
0,1,1,0,1
1,1,1,0,1
0,1,1,0,1
6,1,1,0,1
0,1,1,1,1
0,0,1,1,1
15,0,1,1,1
0,1,1,1,1
4,1,1,1,1
23,1,1,1,1
4,1,1,1,1
0,1,1,1,1
0,0,1,1,1
0,0,1,1,1
2,1,1,1,1
3,1,1,1,1
21,1,1,1,1
0,1,1,1,1
0,1,1,1,1
0,0,1,1,1
3,0,1,1,1
0,1,1,1,1
0,1,1,1,1
0,1,1,1,1
36,1,1,1,1
0,1,1,1,1
5,0,1,1,1
0,0,1,1,1
150,1,1,1,1
2,1,1,1,1
